"species" "tarsus.mm" "tail.mm" "wing.mm" "mass.g" "foraging" "location" "measureID"
"192" "Columbina_minuta" 9.72 27.02 63.02 34 "terrestrial" "America" "measureA"
"212" "Columbina_picui" 13.12 55.32 95.32 52 "terrestrial" "America" "measureA"
"114" "Columba_oenas" 22.72 108.82 221.32 303.5 "terrestrial" "Eurasia" "measureA"
"301" "Ducula_pinon" 31.3 126.8 255.1 802 "arboreal" "Australasia" "measureB"
"33" "Ducula_rufigaster" 30.52 105.52 205.82 498 "arboreal" "Australasia" "measureA"
"125" "Streptopelia_decipiens" 22.62 135.62 178.32 185 "terrestrial" "Africa" "measureA"
"131" "Streptopelia_semitorquata" 29.52 129.62 187.32 244 "terrestrial" "Africa" "measureA"
"1161" "Ptilinopus_rivoli" 18.2 70 138 145 "arboreal" "Australasia" "measureB"
"74" "Leptotila_cassini" 29.82 49.42 135.62 155.5 "terrestrial" "America" "measureA"
"573" "Geotrygon_chiriquensis" 43.2 49.5 151.4 301.5 "terrestrial" "America" "measureB"
